,Date,Symbol,_id,close,exchange,frequency,high,industry,logo_url,low,open,processing_time,sector,sentiment_change,st_id,title,trending,trending_score,utcDate,volume,volume_change,vwap,watchlist_count,watchlist_member,watchlist_number
5612,2020-06-12 10:58:01 -04:00,MSFT,5ee397f90aa701fddac3bae1,188.64,NASDAQ,1m,188.81,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,188.54,188.73,0.8788843154907227,Technology,0.16,2735,Microsoft Corporation,False,-0.538467,2020-06-12 10:58:01.344,82174.0,5.11,190.54,208070,True,1.0
5613,2020-06-12 10:59:01 -04:00,MSFT,5ee398350aa701fddac3bd14,188.34,NASDAQ,1m,188.75,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,188.29,188.63,0.8267083168029785,Technology,0.16,2735,Microsoft Corporation,False,-0.538467,2020-06-12 10:59:01.470,104303.0,5.11,190.52,208070,True,1.0
5614,2020-06-12 11:00:01 -04:00,MSFT,5ee398710aa701fddac3bf47,188.07,NASDAQ,1m,188.38,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,187.96,188.38,0.6670026779174805,Technology,0.16,2735,Microsoft Corporation,False,-0.538467,2020-06-12 11:00:01.040,198359.0,5.11,190.47,208070,True,1.0
5615,2020-06-12 11:01:00 -04:00,MSFT,5ee398ac0aa701fddac3c17a,188.26,NASDAQ,1m,188.42,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,188.04,188.04,0.8981568813323975,Technology,0.16,2735,Microsoft Corporation,False,-0.538467,2020-06-12 11:01:00.983,88331.0,5.11,190.46,208070,True,1.0
5616,2020-06-12 11:02:01 -04:00,MSFT,5ee398e90aa701fddac3c3ad,188.14,NASDAQ,1m,188.38,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,188.04,188.28,0.7888824939727783,Technology,0.16,2735,Microsoft Corporation,False,-0.538467,2020-06-12 11:02:01.740,66759.0,5.11,190.44,208070,True,1.0
5617,2020-06-12 11:03:01 -04:00,MSFT,5ee399250aa701fddac3c5e0,187.74,NASDAQ,1m,188.12,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,187.67,188.11,0.7855994701385498,Technology,0.16,2735,Microsoft Corporation,False,-0.538467,2020-06-12 11:03:01.503,147424.0,5.11,190.41,208070,True,1.0
5618,2020-06-12 11:04:01 -04:00,MSFT,5ee399610aa701fddac3c813,187.52,NASDAQ,1m,187.74,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,187.45,187.71,0.7631740570068359,Technology,0.16,2735,Microsoft Corporation,False,-0.538467,2020-06-12 11:04:01.323,126782.0,5.11,190.38,208070,True,1.0
5619,2020-06-12 11:05:01 -04:00,MSFT,5ee3999d0aa701fddac3ca46,187.02,NASDAQ,1m,187.51,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,187.0,187.51,0.6669361591339111,Technology,0.16,2735,Microsoft Corporation,False,-0.538467,2020-06-12 11:05:01.181,182493.0,5.11,190.33,208070,True,1.0
5620,2020-06-12 11:06:01 -04:00,MSFT,5ee399d90aa701fddac3cc79,187.74,NASDAQ,1m,187.74,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,187.0,187.02,0.8591289520263672,Technology,0.16,2735,Microsoft Corporation,False,-0.538467,2020-06-12 11:06:01.180,123524.0,5.11,190.3,208070,True,1.0
5621,2020-06-12 11:07:01 -04:00,MSFT,5ee39a150aa701fddac3ceac,187.95,NASDAQ,1m,188.14,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,187.7,187.72,0.9644303321838379,Technology,0.16,2735,Microsoft Corporation,False,-0.538467,2020-06-12 11:07:01.355,132080.0,5.11,190.27,208070,True,1.0
5622,2020-06-12 11:08:01 -04:00,MSFT,5ee39a510aa701fddac3d0df,187.88,NASDAQ,1m,188.07,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,187.85,187.94,0.7623047828674316,Technology,0.16,2735,Microsoft Corporation,False,-0.538467,2020-06-12 11:08:01.089,96934.0,5.11,190.25,208070,True,1.0
5623,2020-06-12 11:09:00 -04:00,MSFT,5ee39a8c0aa701fddac3d312,188.06,NASDAQ,1m,188.14,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,187.89,187.89,0.7479727268218994,Technology,0.16,2735,Microsoft Corporation,False,-0.203313,2020-06-12 11:09:00.836,105792.0,5.11,190.24,208114,True,1.0
5624,2020-06-12 11:10:00 -04:00,MSFT,5ee39ac80aa701fddac3d545,188.32,NASDAQ,1m,188.44,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,188.0,188.06,0.7219882011413574,Technology,0.16,2735,Microsoft Corporation,False,-0.203313,2020-06-12 11:10:00.815,102170.0,5.11,190.22,208114,True,1.0
5625,2020-06-12 11:11:01 -04:00,MSFT,5ee39b050aa701fddac3d778,188.15,NASDAQ,1m,188.37,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,188.13,188.32,0.6780896186828613,Technology,0.16,2735,Microsoft Corporation,False,-0.203313,2020-06-12 11:11:01.418,108241.0,5.11,190.21,208114,True,1.0
5626,2020-06-12 11:12:01 -04:00,MSFT,5ee39b410aa701fddac3d9ab,188.08,NASDAQ,1m,188.22,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,188.02,188.15,0.7750141620635986,Technology,0.16,2735,Microsoft Corporation,False,-0.203313,2020-06-12 11:12:01.302,83955.0,5.11,190.2,208114,True,1.0
5627,2020-06-12 11:13:00 -04:00,MSFT,5ee39b7c0aa701fddac3dbde,188.31,NASDAQ,1m,188.36,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,188.05,188.06,0.6142160892486572,Technology,0.16,2735,Microsoft Corporation,False,0.216469,2020-06-12 11:13:00.933,97245.0,5.11,190.18,208160,True,1.0
5628,2020-06-12 11:14:02 -04:00,MSFT,5ee39bba0aa701fddac3de11,188.25,NASDAQ,1m,188.38,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,188.22,188.3,1.1114349365234375,Technology,0.16,2735,Microsoft Corporation,False,0.216469,2020-06-12 11:14:02.014,56414.0,5.11,190.17,208160,True,1.0
5629,2020-06-12 11:15:01 -04:00,MSFT,5ee39bf50aa701fddac3e044,187.7,NASDAQ,1m,188.26,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,187.69,188.25,0.7449064254760742,Technology,0.29,2735,Microsoft Corporation,False,0.216469,2020-06-12 11:15:01.227,155533.0,4.11,190.16,208160,True,1.0
5630,2020-06-12 11:16:00 -04:00,MSFT,5ee39c300aa701fddac3e277,188.14,NASDAQ,1m,188.49,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,187.67,187.7,0.640904426574707,Technology,0.29,2735,Microsoft Corporation,False,0.216469,2020-06-12 11:16:00.771,145509.0,4.11,190.13,208160,True,1.0
5631,2020-06-12 11:17:01 -04:00,MSFT,5ee39c6d0aa701fddac3e4aa,187.9,NASDAQ,1m,188.2,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,187.7,188.2,0.6219966411590576,Technology,0.29,2735,Microsoft Corporation,False,0.216469,2020-06-12 11:17:01.370,108724.0,4.11,190.12,208160,True,1.0
5632,2020-06-12 11:18:01 -04:00,MSFT,5ee39ca90aa701fddac3e6dd,187.64,NASDAQ,1m,187.95,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,187.56,187.87,0.5946543216705322,Technology,0.29,2735,Microsoft Corporation,False,0.216469,2020-06-12 11:18:01.237,88729.0,4.11,190.11,208160,True,1.0
5633,2020-06-12 11:19:00 -04:00,MSFT,5ee39ce40aa701fddac3e910,187.46,NASDAQ,1m,187.85,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,187.4,187.64,0.6218893527984619,Technology,0.29,2735,Microsoft Corporation,False,0.216469,2020-06-12 11:19:00.827,92166.0,4.11,190.09,208160,True,1.0
5634,2020-06-12 11:20:01 -04:00,MSFT,5ee39d210aa701fddac3eb43,187.07,NASDAQ,1m,187.51,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,187.0,187.51,0.8722729682922363,Technology,0.29,2735,Microsoft Corporation,False,0.216469,2020-06-12 11:20:01.718,115817.0,4.11,190.07,208160,True,1.0
5635,2020-06-12 11:21:00 -04:00,MSFT,5ee39d5c0aa701fddac3ed76,187.64,NASDAQ,1m,187.66,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,187.03,187.07,0.6482143402099609,Technology,0.29,2735,Microsoft Corporation,False,0.216469,2020-06-12 11:21:00.715,108573.0,4.11,190.05,208160,True,1.0
5636,2020-06-12 11:22:01 -04:00,MSFT,5ee39d990aa701fddac3efa9,187.64,NASDAQ,1m,187.82,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,187.56,187.66,0.6513128280639648,Technology,0.29,2735,Microsoft Corporation,False,0.216469,2020-06-12 11:22:01.242,117622.0,4.11,190.03,208160,True,1.0
5637,2020-06-12 11:23:00 -04:00,MSFT,5ee39dd40aa701fddac3f1dc,187.16,NASDAQ,1m,187.65,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,187.13,187.63,0.6266858577728271,Technology,0.29,2735,Microsoft Corporation,False,0.216469,2020-06-12 11:23:00.910,61559.0,4.11,190.02,208160,True,1.0
5638,2020-06-12 11:24:01 -04:00,MSFT,5ee39e110aa701fddac3f40f,187.16,NASDAQ,1m,187.55,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,187.14,187.16,0.6063432693481445,Technology,0.29,2735,Microsoft Corporation,False,0.216469,2020-06-12 11:24:01.423,76610.0,4.11,190.0,208160,True,1.0
5639,2020-06-12 11:25:01 -04:00,MSFT,5ee39e4d0aa701fddac3f642,187.24,NASDAQ,1m,187.24,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,187.0,187.12,0.9373254776000977,Technology,0.29,2735,Microsoft Corporation,False,0.216469,2020-06-12 11:25:01.292,104513.0,4.11,189.98,208160,True,1.0
5640,2020-06-12 11:26:00 -04:00,MSFT,5ee39e880aa701fddac3f875,187.65,NASDAQ,1m,187.79,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,187.28,187.28,0.7424535751342773,Technology,0.29,2735,Microsoft Corporation,False,0.216469,2020-06-12 11:26:00.896,147321.0,4.11,189.96,208160,True,1.0
5641,2020-06-12 11:27:01 -04:00,MSFT,5ee39ec50aa701fddac3faa8,187.69,NASDAQ,1m,187.81,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,187.4,187.63,0.7729589939117432,Technology,0.29,2735,Microsoft Corporation,False,0.216469,2020-06-12 11:27:01.614,102486.0,4.11,189.94,208160,True,1.0
5642,2020-06-12 11:28:01 -04:00,MSFT,5ee39f010aa701fddac3fcdb,188.02,NASDAQ,1m,188.02,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,187.65,187.69,0.8977463245391846,Technology,0.29,2735,Microsoft Corporation,False,0.216469,2020-06-12 11:28:01.798,74862.0,4.11,189.93,208160,True,1.0
